[Header]
TITLE,Addenda Pate thermique
BYAPP,HeatCapacity,3.5.4,1.5
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.5.4 Build 1,APPNAME
DATATYPE,TIME,1
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Time Stamp (Seconds),PPMS Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
17959479.88,5905,13.9748,14.0923,-0.137,0.0002936,14.146838,0.26209157,33.494696,0.06941,35.968655,0.0386,69.463352,0.06941,1.9343912,2.9746605,0.016038971,97.865008,0,0,1,,,,2.3471E-5,5.243303,200.13302,2.3676454,0
17959517.14,5905,13.9799,14.0967,-0.137,0.0002799,14.164791,0.28422291,33.682439,0.06958,36.055888,0.0387,69.738326,0.06958,16.91915,2.9586223,0.012985895,98.258532,0,0,1,,,,2.3669E-5,5.949321,200.64131,2.3778987,0
17959553.72,5905,13.9839,14.1013,-0.137,0.0002867,14.168689,0.28328391,33.753638,0.06866,36.078099,0.03873,69.831737,0.06866,16.547625,2.961581,0.012704911,98.297626,0,0,1,,,,2.3675E-5,5.917245,200.75176,2.3822696,0
17959821.89,5905,14.9764,15.0911,-0.137,0.0002766,15.155042,0.28204295,42.159647,0.08791,42.106675,0.04969,84.266321,0.08791,3.0765476,3.3547005,0.017010329,97.991942,0,0,1,,,,2.5248E-5,5.923162,229.67529,2.7818892,0
17959866.56,5905,14.983,15.0962,-0.137,0.0003007,15.173528,0.30447585,42.322004,0.09046,42.238657,0.04995,84.560661,0.09046,9.3303484,3.3498585,0.016233437,98.08003,0,0,1,,,,2.5367E-5,6.709401,230.23594,2.7892001,0
17959910.91,5905,14.987,15.0998,-0.137,0.0002936,15.1776,0.3044112,42.34478,0.08721,42.263691,0.05,84.608471,0.08721,41.442922,3.3442965,0.015639339,98.146608,0,0,1,,,,2.542E-5,6.699717,230.35955,2.7899522,0
17960179.11,5905,15.9784,16.0805,-0.137,0.0002833,16.156838,0.29954505,52.205008,0.1049,48.683645,0.06261,100.88865,0.1049,1.6343083,3.7309649,0.017289322,98.159866,0,0,1,,,,2.7177E-5,6.688593,261.04342,3.2311401,0
17960226.11,5905,15.9691,16.0949,-0.137,0.0002867,16.166919,0.32324897,52.388999,0.1152,48.73653,0.06267,101.12553,0.1152,0.79971277,3.7292075,0.015367197,98.36197,0,0,1,,,,2.7239E-5,7.46193,261.36926,3.2405061,0
17960273.27,5905,15.9693,16.1151,-0.137,0.0002867,16.174584,0.32362649,52.447885,0.113,48.791477,0.06273,101.23936,0.113,4.4367862,3.7657542,0.016998614,98.206936,0,0,1,,,,2.7017E-5,7.458415,261.61718,3.242611,0
17960542.88,5905,16.9827,17.096,-0.137,0.0002799,17.17257,0.32079029,64.014358,0.1266,55.732231,0.06673,119.74659,0.1266,2.0351124,4.2090189,0.018627748,98.234549,0,0,1,,,,2.8597E-5,7.531508,294.89716,3.7277098,0
17960592.98,5905,16.9892,17.0958,-0.137,0.0002833,17.190949,0.34597852,64.297384,0.1286,55.850235,0.06686,120.14762,0.1286,27.285758,4.1954157,0.017131804,98.369835,0,0,1,,,,2.8774E-5,8.418038,295.52871,3.7401882,0
17960642.41,5905,16.9901,17.0999,-0.137,0.0002799,17.19302,0.34533707,64.306391,0.1228,55.863989,0.06687,120.17038,0.1228,20.326044,4.1916875,0.016632107,98.415682,0,0,1,,,,2.8801E-5,8.390831,295.59993,3.7402616,0
17960914.41,5905,17.963,18.1087,-0.137,0.0003043,18.16665,0.34089616,77.277619,0.164,63.044255,0.0778,140.32187,0.164,1.2318973,4.709265,0.020949187,98.214587,0,0,1,,,,2.9962E-5,8.383375,330.02716,4.2538179,0
17960967.38,5905,17.9715,18.1225,-0.137,0.0002971,18.193088,0.36856677,77.799743,0.1623,63.237822,0.07814,141.03757,0.1623,5.6411882,4.7049288,0.019960687,98.296029,0,0,1,,,,3.0135E-5,9.41853,330.98844,4.2763353,0
17961020.03,5905,17.9791,18.1296,-0.137,0.0003007,18.202605,0.3683717,77.87068,0.1583,63.309313,0.07827,141.17999,0.1583,50.179114,4.6919309,0.01885717,98.385257,0,0,1,,,,3.0241E-5,9.409858,331.33483,4.2779964,0
17961297.66,5905,18.9693,19.0912,-0.137,0.0002936,19.17409,0.3619828,92.490659,0.1908,71.076731,0.09439,163.56739,0.1908,1.5260565,5.2099927,0.022398679,98.261169,0,0,1,,,,3.1573E-5,9.383862,367.64574,4.8237313,0
17961353.11,5905,18.9764,19.1038,-0.137,0.0002867,19.198454,0.38920714,93.02368,0.187,71.264966,0.09487,164.28865,0.187,22.885544,5.2006987,0.019978147,98.44462,0,0,1,,,,3.175E-5,10.41999,368.58062,4.8453736,0
17961409.5,5905,18.9835,19.1112,-0.137,0.0002799,19.207102,0.38865239,93.204451,0.1861,71.335005,0.09505,164.53946,0.1861,50.713098,5.2021927,0.020006539,98.442656,0,0,1,,,,3.179E-5,10.4014,368.91278,4.8526035,0
17961706.28,5905,19.9586,20.1024,-0.137,0.0002971,20.173525,0.38296082,109.33782,0.2189,79.390585,0.1192,188.72841,0.2189,1.3534345,5.7070406,0.022012398,98.425408,0,0,1,,,,3.3248E-5,10.40439,406.97111,5.4198669,0
