[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1507043426.059000 10/3/2017, 11:10:26 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, PMO
INFO, WEIGHT, 6.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH_up_quick_500eO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1507054777.169,,3.000000e+002,2.999996e+002,4.559955e-002,5.124530e-006,3,9.915150e-001,1.123811e-002,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507054918.122,,2.500000e+002,3.000012e+002,4.434936e-002,2.146289e-006,3,9.913723e-001,4.839505e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507055057.365,,2.000000e+002,2.999996e+002,4.276650e-002,3.391575e-006,3,9.912937e-001,7.930447e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507055196.538,,1.500000e+002,2.999964e+002,4.073220e-002,1.292031e-006,3,9.911003e-001,3.172015e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507055335.740,,1.000000e+002,2.999980e+002,3.808706e-002,1.053994e-006,3,9.908174e-001,2.767328e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507055469.784,,9.000000e+001,2.999964e+002,3.745168e-002,1.062374e-006,3,9.908058e-001,2.836653e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507055603.717,,8.500000e+001,2.999948e+002,3.711258e-002,1.784970e-006,3,9.907249e-001,4.809609e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507055737.599,,8.000000e+001,3.000028e+002,3.676507e-002,1.297752e-006,3,9.906859e-001,3.529851e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507055863.880,,7.500000e+001,2.999948e+002,3.641295e-002,1.837004e-006,3,9.906422e-001,5.044921e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507055991.032,,7.000000e+001,2.999980e+002,3.603594e-002,1.664471e-006,3,9.906354e-001,4.618920e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507056117.284,,6.500000e+001,2.999916e+002,3.564442e-002,2.338085e-006,3,9.905637e-001,6.559469e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507056244.868,,6.000000e+001,2.999948e+002,3.523244e-002,2.549020e-006,3,9.905187e-001,7.234868e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.890015e-002,0.000000e+000,0,,0,
1507056378.611,,5.500000e+001,2.999916e+002,3.480104e-002,1.847338e-006,3,9.904935e-001,5.308284e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507056506.171,,5.000000e+001,2.999964e+002,3.434517e-002,6.615616e-007,3,9.904280e-001,1.926214e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507056628.008,,4.800000e+001,2.999916e+002,3.416019e-002,2.027547e-006,3,9.903674e-001,5.935411e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507056755.509,,4.600000e+001,2.999964e+002,3.395892e-002,3.260451e-006,3,9.903074e-001,9.601160e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.890015e-002,0.000000e+000,0,,0,
1507056875.804,,4.400000e+001,2.999964e+002,3.376331e-002,1.376801e-006,3,9.903001e-001,4.077802e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
