Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,12010192.32,300.0332488875,2999.983,1000,9.99840986825154,,4.4470535821251E-7,0.000319502784467966,-1.11609506547914E-6,0.000319504733847527,-0.200146226539346,-1.5295170392628E-8,4.42499217169917E-10,1.53015699487576E-8,178.342858101748,333,5,5,13.4965986394558,0.757658162977266,0.000307715776716941,4369,0,300.0151978,300.0723877,2999.983,2999.983,,296.8349,,,,,,,,,,,,,,,,,,,,,,,300.0332488875
,12010205.74,300.0528259,2999.983,,,1.2144191539144,0.000174960674978732,,,,,,,,,1,5,0,2.20300052314997,0.757658162977266,0.00651766029434399,4369,0,300.0483093,300.0573425,2999.983,2999.983,0.705109429181725,296.938,,,,,,,,,,,,,,,,,,,,,,,300.0528259
,12010261.32,300.035350775,3199.882,1000,9.9984833376983,,3.3962963929E-7,0.000272906622233052,-7.92795391488578E-7,0.000272907773768331,-0.166444118506718,-1.52950910853064E-8,4.42471981960309E-10,1.53014898870221E-8,178.342951452447,333,5,5,13.4965986394558,0.757658162977266,0.000285735507671468,4369,0,300.019165,300.0462646,3199.882,3199.882,,296.852825,,,,,,,,,,,,,,,,,,,,,,,300.035350775
,12010274.76,300.0342102,3199.882,,,1.22230561118978,0.000203692674834261,,,,,,,,,1,5,0,2.13999983388931,0.757658162977266,0.00661830329652219,4369,0,300.0342102,300.0342102,3199.882,3199.882,0.741782157779918,296.8076,,,,,,,,,,,,,,,,,,,,,,,300.0342102
,12010330.50,300.0324974125,3399.833,1000,9.99854922003345,,2.62085768150611E-7,0.000238312636660994,-5.92777721370785E-7,0.000238313373896099,-0.142516956104942,-1.52950841076806E-8,4.42684388222822E-10,1.53014890559252E-8,178.342155683242,333,5,5,13.4965986394558,0.757658162977266,0.000269456046319178,4369,0,300.018219,300.0392761,3399.833,3399.833,,296.841475,,,,,,,,,,,,,,,,,,,,,,,300.0324974125
,12010343.97,300.03627015,3399.833,,,1.22783681467337,0.000206281568959432,,,,,,,,,1,5,0,2.18699967954308,0.757658162977266,0.00663484485156855,4369,0,300.0332642,300.0392761,3399.833,3399.833,0.742797661417423,296.8906,,,,,,,,,,,,,,,,,,,,,,,300.03627015
,12010406.24,300.016826625,3600.058,1000,9.99851222059287,,1.75195135687769E-7,0.000211879161018029,-4.21067373117464E-7,0.000211879579411128,-0.113863730130447,-1.52951681383966E-8,4.42787841258287E-10,1.53015760447802E-8,178.341777575081,333,5,5,13.4965986394558,0.757658162977266,0.000257531091193635,4369,0,300.0081787,300.0292358,3600.058,3600.058,,296.8263,,,,,,,,,,,,,,,,,,,,,,,300.016826625
,12010419.78,300.01675415,3600.058,,,1.23202507268,0.000202186150921635,,,,,,,,,1,5,0,2.26599995512515,0.757658162977266,0.00663604043666026,4369,0,300.0081787,300.0253296,3600.058,3600.058,0.741817755884062,296.8792,,,,,,,,,,,,,,,,,,,,,,,300.01675415
,12010482.15,300.016586325,3799.981,1000,9.99843350877545,,1.39742803892455E-7,0.000191351280356053,-2.91112792535168E-7,0.000191351501798545,-0.0871670232630777,-1.52954825936656E-8,4.42619111871599E-10,1.53018854868059E-8,178.342443166079,333,5,5,13.4965986394558,0.757658162977266,0.000248250799482869,4369,0,300.0012207,300.031311,3799.981,3799.981,,296.8186625,,,,,,,,,,,,,,,,,,,,,,,300.016586325
,12010495.68,300.00816345,3799.981,,,1.2363439823553,0.000205302798060941,,,,,,,,,1,5,0,2.23400015383959,0.757658162977266,0.00668500953309967,4369,0,300.0021362,300.0141907,3799.981,3799.981,0.744183443933814,296.88515,,,,,,,,,,,,,,,,,,,,,,,300.00816345
,12010551.28,300.0167999375,4000.149,1000,9.99841643991204,,1.1446404030345E-7,0.00017499560088191,-7.18643970756828E-8,0.00017499561563797,-0.0235293138654242,-1.52954841745222E-8,4.42579065775585E-10,1.53018859086886E-8,178.342593221582,333,5,5,13.4965986394558,0.757658162977266,0.00024085612881708,4369,0,300.0092773,300.0273438,4000.149,4000.149,,296.830625,,,,,,,,,,,,,,,,,,,,,,,300.0167999375
,12010564.85,300.0348358,4000.149,,,1.24075472738446,0.000205001969308491,,,,,,,,,1,5,0,2.21900010947138,0.757658162977266,0.00671659827233019,4369,0,300.0333252,300.0363464,4000.149,4000.149,0.742490160027649,296.81125,,,,,,,,,,,,,,,,,,,,,,,300.0348358
,12010620.45,300.01002885,4199.944,1000,9.99856492583478,,8.73391116910554E-8,0.000161625020571329,-2.52401485368498E-8,0.000161625022542141,-0.00894758725212341,-1.52954054594168E-8,4.42651882023097E-10,1.53018093327755E-8,178.3423121592,333,5,5,13.4965986394558,0.757658162977266,0.000235007507609778,4369,0,299.993103,300.0352478,4199.944,4199.944,,296.878475,,,,,,,,,,,,,,,,,,,,,,,300.01002885
,12010633.93,300.01416015,4199.944,,,1.24396390601396,0.000204759882281574,,,,,,,,,1,5,0,2.18699967954308,0.757658162977266,0.00671730443848978,4369,0,300.0081482,300.0201721,4199.944,4199.944,0.741561193807854,296.98335,,,,,,,,,,,,,,,,,,,,,,,300.01416015
